,id_municipio,tratamento,coord,distancia,incluso
35,5203575,False,"(-0.23793899159513493, -0.8693589723938875)",153.49714844574223,1
36,5203609,False,"(-0.2867244348468805, -0.8619535403776756)",272.837622635246,1
37,5203807,False,"(-0.26603704722299165, -0.8929139359788031)",90.21532038200982,1
38,5203906,False,"(-0.31656432906822746, -0.8559164464950272)",283.5030475094436,1
39,5203939,False,"(-0.2823803103386666, -0.8801730324392444)",158.21743631782715,1
40,5203962,False,"(-0.25267480646972307, -0.8099654179485205)",494.63050579604135,1
41,5204003,False,"(-0.2757532951688441, -0.819021931437119)",464.5404862765257,1
42,5204102,False,"(-0.32745518360067216, -0.8891265715019753)",91.86026453227306,1
43,5204201,False,"(-0.29083293990607506, -0.8839394529650482)",163.98225038374457,1
44,5204250,False,"(-0.3226398201944198, -0.8635295726922264)",223.43388564282264,1
45,5204300,False,"(-0.3239226371946356, -0.8924357157637566)",88.45219535456782,1
46,5204409,False,"(-0.2959013760538666, -0.9042393774949942)",107.5170425967786,1
47,5204508,False,"(-0.30969296780312583, -0.8486593674652347)",345.13870130889745,1
48,5204557,False,"(-0.2916741886055364, -0.8552340227574974)",321.57769985570593,1
49,5204607,False,"(-0.2925590705362975, -0.8673413717785821)",255.6312490740004,1
50,5204656,False,"(-0.24062854397245823, -0.8477133990106538)",270.49170903378865,1
51,5204706,False,"(-0.24982119314271237, -0.8578485259769849)",199.36438397444755,1
52,5204805,False,"(-0.3078115028694759, -0.8338624660668269)",425.1121391144695,1
53,5204854,False,"(-0.2844380535267679, -0.8567734031577564)",294.82974119367157,1
54,5204904,False,"(-0.22750366799746086, -0.81625732990196)",452.37187445358194,1
55,5204953,False,"(-0.24860818931257628, -0.8666048428342404)",146.0659169864095,1
56,5205000,False,"(-0.2679935613144773, -0.8675682645813413)",175.46047725970595,1
57,5205059,False,"(-0.3157667136000661, -0.8762076443787133)",197.35558038782904,1
58,5205109,False,"(-0.31704953060028196, -0.8367806565761614)",380.50830886230943,1
59,5205208,False,"(-0.28701415950271153, -0.8638262786650655)",262.4125423722416,1
60,5205307,False,"(-0.2408135488731696, -0.828273921801941)",387.79401089148945,1
61,5205406,False,"(-0.2671418406395041, -0.8656833089891874)",181.70038516311388,1
62,5205455,False,"(-0.29621378998997366, -0.8687515978141934)",259.46641999307263,1
63,5205471,False,"(-0.32126799140235224, -0.9171530686305003)",43.108654759863505,1
64,5205497,False,"(-0.28058785719686835, -0.8364525346767864)",379.4436024059548,1
65,5205513,False,"(-0.27561192349943253, -0.8512791066724783)",285.2205444029876,1
66,5205521,False,"(-0.24701295837625345, -0.8390844911887939)",316.2128996908908,1
67,5205703,False,"(-0.28434555107641213, -0.8822691728708896)",150.80652161858316,1
68,5205802,False,"(-0.277934956733837, -0.8519248784957162)",290.282313171692,1
69,5205901,False,"(-0.3166289062505513, -0.8475772633289983)",324.80242540232416,1
70,5206206,False,"(-0.2926498276574012, -0.8310053620813121)",448.8445613584976,1
71,5206305,False,"(-0.3001739420627487, -0.8500346869158063)",371.6796699867158,1
72,5206404,False,"(-0.25379181719099947, -0.8722108403916462)",111.746708717622,1
73,5206503,False,"(-0.3017377570725357, -0.861840093976296)",313.8732352488263,1
74,5206602,False,"(-0.3187739159012523, -0.8403952334570416)",356.02999615926313,1
75,5206701,False,"(-0.25412692040738233, -0.8059581419859414)",519.5063738197124,1
76,5206800,False,"(-0.2836927979361663, -0.8615486239912129)",270.50857971388444,1
77,5206909,False,"(-0.31677900456622277, -0.8300227417124394)",418.1579852495189,1
78,5207105,False,"(-0.28331755214698756, -0.8945562908049297)",83.54418574152506,1
79,5208301,False,"(-0.23187222711520267, -0.8098310275961169)",499.502507357463,1
80,5207253,False,"(-0.291798106982428, -0.9131370660216612)",47.50189780907696,1
81,5207352,False,"(-0.30410442353823997, -0.8668073010274718)",288.2802533175314,1
82,5207402,False,"(-0.3026505642713287, -0.8714341688745088)",270.78456661302613,1
83,5207501,False,"(-0.2420160807277937, -0.8564609892216494)",215.9540369504996,1
84,5207535,False,"(-0.2696062455433201, -0.8789862085478882)",136.05740898885563,1
85,5207600,False,"(-0.2824536141672503, -0.8862450329069327)",123.68368756873991,1
86,5207808,False,"(-0.28933719273711594, -0.8779704269232276)",188.71145279049142,1
87,5207907,False,"(-0.2521145557798329, -0.8210325507354165)",426.3301859005824,1
88,5208004,False,"(-0.2712241657599188, -0.8261865080165558)",413.7368461523886,1
89,5208103,False,"(-0.238235697567974, -0.8530733051435284)",243.33901703865308,1
90,5208152,False,"(-0.2877245085082732, -0.8490223959496497)",343.4540282568587,1
91,5208400,False,"(-0.2881503688457598, -0.8556197405221881)",312.5409051030561,1
92,5208509,False,"(-0.31651895050767564, -0.8392852040527732)",368.605706587146,1
93,5208608,False,"(-0.26724132440686776, -0.8572394060680388)",226.9298707758951,1
94,5208707,False,"(-0.2912326203047818, -0.8598242386902425)",294.3105219388477,1
95,5208806,False,"(-0.2878868241287087, -0.8626638893832372)",270.86599775935116,1
96,5208905,False,"(-0.2780885457080125, -0.8751080869499569)",182.6464236733281,1
97,5209101,False,"(-0.31434252493043874, -0.8615957478810168)",266.6930549252864,1
98,5209150,False,"(-0.32504662923291994, -0.8740696160450202)",165.09543573305208,1
99,5209200,False,"(-0.29373367712288967, -0.8645401183291312)",274.2639546108192,1
100,5209291,False,"(-0.27248254815060674, -0.8731271382489433)",171.4401870799381,1
101,5209408,False,"(-0.24333554964230142, -0.8113477187161)",489.1311469877054,1
