id_municipio,latitude,longitude,fuso_horario,uf,regiao
5210307,-16.3144,-50.9087,America/Sao_Paulo,GO,Centro-Oeste
5210406,-16.0206,-49.806,America/Sao_Paulo,GO,Centro-Oeste
5210562,-15.918,-49.6071,America/Sao_Paulo,GO,Centro-Oeste
5210604,-15.7565,-49.6354,America/Sao_Paulo,GO,Centro-Oeste
5210802,-19.0673,-51.5495,America/Sao_Paulo,GO,Centro-Oeste
5210901,-14.9522,-49.5511,America/Sao_Paulo,GO,Centro-Oeste
5211008,-15.8205,-50.6094,America/Sao_Paulo,GO,Centro-Oeste
5211206,-15.5606,-49.949,America/Sao_Paulo,GO,Centro-Oeste
5211305,-18.7646,-51.3485,America/Sao_Paulo,GO,Centro-Oeste
5211404,-16.2029,-49.6109,America/Sao_Paulo,GO,Centro-Oeste
5211503,-18.4093,-49.2158,America/Sao_Paulo,GO,Centro-Oeste
5211602,-16.5995,-50.7921,America/Sao_Paulo,GO,Centro-Oeste
5211701,-17.0481,-50.1453,America/Sao_Paulo,GO,Centro-Oeste
5211800,-15.7529,-49.3344,America/Sao_Paulo,GO,Centro-Oeste
5211909,-17.8784,-51.7204,America/Sao_Paulo,GO,Centro-Oeste
5212006,-16.1773,-50.9508,America/Sao_Paulo,GO,Centro-Oeste
5212055,-15.9484,-49.3739,America/Sao_Paulo,GO,Centro-Oeste
5212105,-17.802,-49.6197,America/Sao_Paulo,GO,Centro-Oeste
5212204,-15.8659,-50.8668,America/Sao_Paulo,GO,Centro-Oeste
5212253,-19.1832,-51.3998,America/Sao_Paulo,GO,Centro-Oeste
5212303,-16.619,-48.7428,America/Sao_Paulo,GO,Centro-Oeste
5212501,-16.253,-47.95,America/Sao_Paulo,GO,Centro-Oeste
5212600,-17.2975,-49.4898,America/Sao_Paulo,GO,Centro-Oeste
5212709,-14.4823,-46.1165,America/Sao_Paulo,GO,Centro-Oeste
5212808,-14.0148,-49.1777,America/Sao_Paulo,GO,Centro-Oeste
5212907,-17.983,-48.6415,America/Sao_Paulo,GO,Centro-Oeste
5212956,-15.4342,-50.7456,America/Sao_Paulo,GO,Centro-Oeste
5213004,-17.9719,-50.3388,America/Sao_Paulo,GO,Centro-Oeste
5213053,-15.0515,-48.1611,America/Sao_Paulo,GO,Centro-Oeste
5213087,-13.5304,-48.2206,America/Sao_Paulo,GO,Centro-Oeste
5213103,-17.5654,-52.5537,America/Sao_Paulo,GO,Centro-Oeste
5213400,-16.5434,-50.739,America/Sao_Paulo,GO,Centro-Oeste
5213509,-13.2552,-46.8928,America/Sao_Paulo,GO,Centro-Oeste
5213707,-16.0059,-51.3979,America/Sao_Paulo,GO,Centro-Oeste
5213756,-17.4439,-51.1728,America/Sao_Paulo,GO,Centro-Oeste
5213772,-13.3485,-48.6853,America/Sao_Paulo,GO,Centro-Oeste
5213806,-17.7334,-49.1059,America/Sao_Paulo,GO,Centro-Oeste
5213855,-15.3184,-50.0553,America/Sao_Paulo,GO,Centro-Oeste
5213905,-16.124,-50.2136,America/Sao_Paulo,GO,Centro-Oeste
5214002,-14.7457,-50.5713,America/Sao_Paulo,GO,Centro-Oeste
5214051,-13.7729,-50.2814,America/Sao_Paulo,GO,Centro-Oeste
5214101,-13.7303,-49.2745,America/Sao_Paulo,GO,Centro-Oeste
5214408,-16.5808,-49.8817,America/Sao_Paulo,GO,Centro-Oeste
5214507,-16.4047,-49.2227,America/Sao_Paulo,GO,Centro-Oeste
5214606,-14.4662,-48.4599,America/Sao_Paulo,GO,Centro-Oeste
5214705,-15.0206,-49.8953,America/Sao_Paulo,GO,Centro-Oeste
5214804,-18.0597,-48.2552,America/Sao_Paulo,GO,Centro-Oeste
